,intended vote,education,age
0,leave,3.0,60
1,leave,,56
2,stay,5.0,73
3,leave,4.0,64
4,don't know,2.0,68
5,stay,4.0,85
6,leave,3.0,78
7,leave,2.0,51
8,leave,3.0,59
9,leave,4.0,68
10,stay,4.0,53
11,leave,4.0,52
12,leave,4.0,70
13,leave,4.0,39
14,leave,,48
15,leave,3.0,65
16,stay,2.0,53
17,stay,2.0,59
18,leave,,50
19,stay,4.0,61
20,leave,2.0,81
21,leave,4.0,55
22,leave,2.0,65
23,stay,5.0,45
24,leave,2.0,75
25,leave,,36
26,stay,4.0,43
27,leave,4.0,68
28,leave,4.0,58
29,leave,4.0,61
30,stay,4.0,76
31,stay,3.0,56
32,stay,,71
33,leave,4.0,34
34,stay,5.0,37
35,leave,5.0,62
36,stay,3.0,50
37,stay,5.0,46
38,stay,4.0,65
39,stay,5.0,69
40,leave,4.0,48
41,stay,3.0,54
42,stay,5.0,42
43,leave,2.0,78
44,stay,3.0,68
45,leave,,57
46,stay,2.0,64
47,stay,4.0,59
48,stay,4.0,70
49,stay,2.0,68
50,leave,,53
51,leave,4.0,60
52,leave,2.0,48
53,leave,2.0,71
54,stay,3.0,63
55,leave,2.0,78
56,leave,4.0,63
57,leave,1.0,65
58,stay,3.0,62
59,stay,4.0,65
60,leave,4.0,53
61,leave,3.0,64
62,stay,4.0,71
63,stay,4.0,38
64,leave,2.0,70
65,leave,3.0,52
66,leave,2.0,36
67,stay,4.0,62
68,stay,5.0,37
69,stay,4.0,52
70,leave,4.0,71
71,leave,4.0,59
72,stay,2.0,57
73,stay,3.0,76
74,leave,5.0,65
75,stay,4.0,57
76,stay,4.0,67
77,leave,5.0,35
78,won't vote,3.0,38
79,leave,2.0,64
80,leave,1.0,79
81,stay,,58
82,leave,2.0,50
83,leave,3.0,49
84,leave,1.0,64
85,stay,2.0,54
86,leave,5.0,70
87,stay,4.0,38
88,stay,3.0,46
89,stay,4.0,48
90,don't know,4.0,64
91,leave,4.0,64
92,stay,2.0,78
93,stay,4.0,72
94,stay,4.0,53
95,stay,4.0,52
96,stay,4.0,69
97,leave,3.0,67
98,leave,2.0,63
99,leave,2.0,68
100,stay,4.0,42
101,stay,3.0,74
102,don't know,2.0,67
103,stay,4.0,64
104,stay,5.0,39
105,don't know,4.0,45
106,leave,5.0,70
107,leave,,72
108,stay,4.0,72
109,stay,4.0,43
110,leave,3.0,69
111,leave,,72
112,don't know,4.0,49
113,stay,2.0,54
114,leave,,79
115,stay,4.0,48
116,leave,2.0,59
117,leave,,54
118,stay,4.0,64
119,stay,5.0,45
120,stay,2.0,64
121,leave,2.0,57
122,don't know,,70
123,leave,2.0,58
124,leave,4.0,77
125,leave,2.0,58
126,stay,4.0,48
127,stay,4.0,48
128,don't know,4.0,47
129,stay,3.0,43
130,leave,2.0,50
131,leave,4.0,57
132,leave,4.0,64
133,leave,4.0,52
134,don't know,3.0,71
135,stay,4.0,63
136,leave,4.0,71
137,stay,1.0,58
138,won't vote,4.0,44
139,leave,3.0,45
140,leave,5.0,36
141,leave,1.0,69
142,stay,1.0,60
143,leave,2.0,52
144,stay,2.0,63
145,leave,3.0,70
146,stay,4.0,55
147,leave,3.0,38
148,stay,4.0,67
149,stay,4.0,45
150,leave,3.0,74
151,leave,2.0,50
152,leave,3.0,50
153,stay,3.0,58
154,leave,2.0,68
155,stay,3.0,54
156,leave,3.0,67
157,leave,,69
158,leave,2.0,76
159,stay,4.0,34
160,leave,3.0,70
161,stay,4.0,59
162,stay,1.0,72
163,leave,4.0,58
164,stay,4.0,55
165,stay,3.0,80
166,leave,4.0,72
167,leave,5.0,73
168,stay,4.0,66
169,stay,4.0,68
170,leave,4.0,52
171,leave,4.0,61
172,leave,3.0,48
173,leave,3.0,60
174,leave,2.0,74
175,leave,2.0,47
176,stay,5.0,33
177,stay,3.0,65
178,leave,3.0,46
179,stay,5.0,60
180,stay,4.0,65
181,stay,2.0,53
182,stay,4.0,76
183,stay,4.0,38
184,stay,4.0,69
185,don't know,4.0,60
186,leave,1.0,70
187,leave,3.0,55
188,stay,5.0,62
189,don't know,2.0,45
190,stay,2.0,76
191,won't vote,2.0,57
192,leave,5.0,72
193,stay,4.0,40
194,leave,2.0,67
195,leave,2.0,57
196,stay,4.0,69
197,stay,4.0,74
198,leave,,48
199,stay,3.0,54
200,stay,3.0,33
201,leave,2.0,59
202,leave,,78
203,stay,4.0,69
204,stay,4.0,73
205,stay,3.0,75
206,stay,4.0,54
207,stay,4.0,61
208,stay,4.0,65
209,leave,4.0,52
210,stay,4.0,45
211,stay,4.0,54
212,stay,4.0,54
213,leave,2.0,66
214,stay,5.0,64
215,leave,3.0,56
216,don't know,4.0,73
217,leave,4.0,37
218,stay,4.0,60
219,stay,4.0,37
220,leave,4.0,57
221,stay,1.0,60
222,stay,,56
223,stay,,59
224,leave,2.0,59
225,stay,5.0,42
226,stay,4.0,37
227,leave,4.0,66
228,leave,,63
229,stay,4.0,32
230,stay,3.0,59
231,stay,4.0,38
232,stay,4.0,72
233,leave,5.0,54
234,leave,,74
235,stay,1.0,73
236,stay,2.0,59
237,leave,,65
238,stay,5.0,38
239,stay,5.0,78
240,leave,,61
241,don't know,2.0,58
242,stay,4.0,61
243,stay,4.0,69
244,leave,4.0,68
245,stay,5.0,63
246,stay,4.0,58
247,stay,3.0,77
248,stay,3.0,71
249,leave,4.0,47
250,don't know,1.0,83
251,stay,4.0,41
252,stay,3.0,34
253,leave,,51
254,leave,5.0,68
255,stay,4.0,60
256,stay,2.0,43
257,stay,5.0,71
258,stay,4.0,48
259,leave,5.0,72
260,leave,2.0,68
261,leave,4.0,77
262,stay,5.0,58
263,leave,4.0,47
264,leave,,40
265,don't know,4.0,46
266,leave,2.0,69
267,leave,,66
268,leave,4.0,72
269,stay,4.0,77
270,leave,3.0,36
271,stay,2.0,68
272,stay,3.0,54
273,stay,4.0,36
274,don't know,5.0,67
275,leave,3.0,64
276,leave,5.0,43
277,leave,2.0,65
278,stay,4.0,51
279,leave,4.0,75
280,stay,1.0,66
281,leave,3.0,64
282,leave,3.0,53
283,leave,4.0,51
284,stay,5.0,57
285,stay,4.0,37
286,leave,3.0,45
287,leave,4.0,67
288,won't vote,,50
289,leave,,80
290,stay,4.0,62
291,don't know,4.0,32
292,stay,4.0,67
293,stay,5.0,40
294,stay,2.0,54
295,stay,,71
296,leave,1.0,61
297,stay,4.0,61
298,leave,2.0,48
299,leave,2.0,57
300,stay,3.0,32
301,stay,4.0,44
302,leave,4.0,49
303,stay,4.0,53
304,leave,5.0,28
305,don't know,,45
306,don't know,3.0,60
307,leave,4.0,65
308,stay,4.0,37
309,won't vote,5.0,31
310,stay,1.0,72
311,stay,,33
312,stay,4.0,63
313,don't know,,69
314,leave,4.0,59
315,stay,4.0,51
316,stay,,64
317,stay,4.0,43
318,stay,4.0,69
319,don't know,5.0,36
320,leave,,32
321,leave,2.0,70
322,stay,4.0,53
323,leave,2.0,65
324,leave,3.0,62
325,stay,3.0,64
326,stay,3.0,68
327,leave,4.0,39
328,stay,4.0,31
329,stay,4.0,36
330,leave,4.0,56
331,leave,4.0,68
332,stay,4.0,48
333,stay,,61
334,leave,1.0,57
335,stay,4.0,61
336,leave,,55
337,stay,4.0,35
338,stay,3.0,51
339,stay,4.0,54
340,don't know,,44
341,stay,2.0,56
342,don't know,4.0,34
343,stay,5.0,36
344,leave,2.0,71
345,leave,,58
346,leave,,40
347,stay,2.0,58
348,leave,4.0,53
349,stay,4.0,48
350,leave,2.0,43
351,stay,5.0,69
352,stay,5.0,44
353,stay,4.0,56
354,don't know,1.0,63
355,leave,,60
356,leave,4.0,57
357,leave,3.0,70
358,leave,5.0,59
359,stay,3.0,61
360,stay,4.0,58
361,stay,4.0,62
